2020-10-10 12:52:06.837 DEBUG    [root] Creating image directory `images`...
2020-10-10 12:52:06.838 DEBUG    [main] Creating background subtractor...
2020-10-10 12:55:41.746 DEBUG    [main] Creating background subtractor...
2020-10-10 12:56:00.178 DEBUG    [main] Creating background subtractor...
2020-10-10 12:56:19.073 DEBUG    [main] Creating background subtractor...
2020-10-10 13:02:09.772 DEBUG    [main] Creating background subtractor...
2020-10-10 13:02:09.773 DEBUG    [main] Pre-training the background subtractor...
2020-10-10 13:06:39.010 DEBUG    [main] Creating background subtractor...
2020-10-10 13:06:39.012 DEBUG    [main] Pre-training the background subtractor...
2020-10-10 13:06:52.697 DEBUG    [main] Creating background subtractor...
2020-10-10 13:06:52.699 DEBUG    [main] Pre-training the background subtractor...
2020-10-10 13:07:14.329 DEBUG    [main] Creating background subtractor...
2020-10-10 13:07:14.400 DEBUG    [main] Pre-training the background subtractor...
